MEDICAMENTO,COMPOSTO,LABORATORIO,LOTE,FABRICACAO,VALIDADE,QTD (CX)
KLEV,RIVAROXABANA 10 MG,ACHE,B2104653,11/21,10/24,19
KLEV,RIVAROXABANA 10 MG,ACHE,B2104654,11/21,10/24,5
KLEV,RIVAROXABANA 10 MG,ACHE,B2200369,01/22,12/24,4
KLEV,RIVAROXABANA 15MG,ACHE,B2104641,12/21,11/24,4
KLEV,RIVAROXABANA 20 MG,ACHE,B2104679,12/21,11/24,0
KLEV,RIVAROXABANA 20 MG,ACHE,B2200981,03/22,02/25,0
KLEV,RIVAROXABANA 20 MG,ACHE,B2200085,11/21,10/24,1
NESINA MET,"ALOGLIPTINA +CLORIDRATO DE METFORMINATINA12,5 MG+850 MG",ACHE,540770,01/23,12/24,7
NESINA PIO,ALOGLIPTINA+PIOGLITAZONA 25 MG+30MG,COSMED,538824,06/22,05/24,4
NEUREXAN,ANTI-HOMOTOXICO,HEEL,99711,09/22,09/24,2
NEOVANGY MR,DICLORIDRATO DE TRIMETAZIDINA 35 MG,EMS,3G3362,10/22,10/24,6
NEOVANGY MR,DICLORIDRATO DE TRIMETAZIDINA 35 MG,EMS,2X3933,06/22,06/24,0
NEOVANGY MR,DICLORIDRATO DE TRIMETAZIDINA 35 MG,EMS,2Y6655,07/22,07/24,1
NOVANLO,LEVANLODIPINO  BESILATO 5MG,BIOLAB,H220203,02/22,01/23,0
NOVANLO,LEVANLODIPINO  BESILATO 5MG,BIOLAB,H220561,03/22,02/25,1
NOVANLO,LEVANLODIPINO  BESILATO 5MG,BIOLAB,H220431,03/22,02/25,5
NOVANLO,LEVANLODIPINO BESILATO 5MG,BIOLAB,H211828,12/21,11/24,55
NOVANLO,"LEVANLODIPINO  BESILATO 2,5MG",BIOLAB,H211894,12//21,11/24,0
NOVANLO,"LEVANLODIPINO  BESILATO 2,5MG",BIOLAB,H220168B,01/22,12/24,0
NOVANLO,"LEVANLODIPINO  BESILATO 2,5MG",BIOLAB,H220184,01/22,12/24,14
NEBLOCK,CLORIDRATO DE NEBIVOLOL,TORRENT PHARMA,CJT6J001PS,01/22,12/24,4
OLSAR,OLMESARTANA MEDOXOMILA 40MG,MOMENTA,807397,08/22,08/24,0
OLSAR H ,"OLMESARTANA MEDOXOMILA 20MG HIDROCLOROTIAZADA 12,5MG",MOMENTA,81271,08/22,08/24,3
LONCORD,NIFEDIPINO 40MG,DIFFUCAP CHEMOBRAS,220099,07/22,07/24,3
VENULA,HIDROSMINA 200MG,BIOLAB,3725,02/22,01/25,4
VENULA,HIDROSMINA 200MG,BIOLAB,3573,03/22,02/25,2
VENULA,HIDROSMINA 200MG,BIOLAB,3536,09/21,08/24,13
VENULA,HIDROSMINA 200MG,BIOLAB,3572,02/22,01/25,4
VESONMI,"SUCCINATO DE SOLIFENACINA 6MG CLORIDRATO DE TANSULOSINA 0,4MG",ASTELLAS,21K2636,11/22,10/24,4
VECASTEN,"MELILOTUS OFFICINALIS (L.) PALL 26,7 MG",MARJAN FARMA,R716,09/22,09/24,5
ENTRESTO 14 COMPRIMIDOS,SUCUBITRIL/VALSARTANA 49MG/51MG,NOVARTIS,TLM86,01/22,12/24,4
ENTRESTO 14 COMPRIMIDOS,SUCUBITRIL/VALSARTANA 49MG/51MG,NOVARTIS,TPL14,06/22,05/25,5
ENTRESTO 60 COMPRIMIDOS,SUCUBITRIL/VALSARTANA 49MG/51MG,NOVARTIS,TMK20,02/22,01/25,2
VENTUS,FUROATO DE MOMETASONA 50MCG,EUROFARMA,796215,06/22,06/24,15
URO-VAXOM,LISADO BACTERIANO LIOFILIZADO DE ESCHERICHIA COLI 6MG,APSEN,2000786,12/20,12/24,10
URO-VAXOM,LISADO BACTERIANO LIOFILIZADO DE ESCHERICHIA COLI 6MG,APSEN,2100386,08/21,08/25,1
URO-VAXOM,LISADO BACTERIANO LIOFILIZADO DE ESCHERICHIA COLI 6MG,APSEN,2200019,12/21,12/25,1
URO-VAXOM,LISADO BACTERIANO LIOFILIZADO DE ESCHERICHIA COLI 6MG,APSEN,2200137,03/22,03/26,1
URO-VAXOM,LISADO BACTERIANO LIOFILIZADO DE ESCHERICHIA COLI 6MG,APSEN,2200004,04/22,04/26,6
PRESS PLUS,ANLODIPINO BESILATO 5MG CLORIDRATO DE BENAZEPRIL 20MG,BIOLAB,30200377,02/23,02/25,1
PRESS PLUS,ANLODIPINO BESILATO 5MG CLORIDRATO DE BENAZEPRIL 20MG,BIOLAB,21201876,01/23,01/25,1
VERTIZINE D,MESILATO DE DI-HIDROERGOCRISTINA 3MG DICLORIDRATO DE FLUNARIZINA 10MG,ACHE,2204491,04/22,04/25,4
VABAM,RIVAROXABANA 15MG,MANTECORP FARMASA,B22F1767,05/22,05/24,12
XAFAC,RIVAROXABANA 15MG,APSEN,21100351,10/21,10/24,10
XAFAC,RIVAROXABANA 15MG,APSEN,22060158,06/22,06/25,5
XAFAC,RIVAROXABANA 15MG,APSEN,22100053,10/21,10/24,5
ZINPASS EZE,ROSUVASTATINA CALCICA + ZETIMIBA,SANOFI,BLB05845,10/21,09/24,3
PEG-LAX 14 ENVELOPES,MACROGOL 3350 17G,MYRALIS,528816,05/22,05/24,1
ZINCOPRO,LACTOBACILUS ACIDO COM ZINCO EM CAPSULAS,MARJAN FARMA,R190,05/22,05/24,1
VONAU FLASH,ONDANSETRONA CLORIDRATO 8MG,BIOLAB,1071697,04/22,04/24,0
VONAU FLASH,ONDANSETRONA CLORIDRATO 8MG,BIOLAB,1074359,05/22,05/24,0
VONAU FLASH,ONDANSETRONA CLORIDRATO 8MG,BIOLAB,1075020,08/22,08/24,0
DUOMO,MSILATO DE DOXAZOSINA 2MG FINASTERIDA 5MG,EUROFARMA,797878,06/22,06/24,8
DPREV,COLECALCIFEROL 100.000 UI,MYRALIS,59206,05/22,08/24,0
DPREV,COLECALCIFEROL 100.000 UI,MYRALIS,530508,07/22,07/24,0
DPREV,COLECALCIFEROL 100.000 UI,MYRALIS,529206,05/22,05/24,0
DPREV,COLECALCIFEROL 100.000 UI,MYRALIS,531675,09/22,09/24,0
ENDOFER,FERRIPOLIMALTOSE 100MG,BIOLAB,10744544,05/22,05/24,20
ENDOFER,FERRIPOLIMALTOSE 50MG/L,BIOLAB,1074808,06/22,06/24,14
EMBO,APIXABANA 5MG,BIOLAB,411522,08/22,07/26,1
ELLURA,VACCINUM MACROCARPON 200MG,BIOLAB,20900934,10/22,10/24,1
EFFIENT,CLORIDRATO DE PRASUGREL 10MG,DAIICHI SANKYO,363100,11/21,10/24,5
ECASIL,ACIDO ACETILASLICILICO 81MG,BIOLAB,1071396,07/22,07/24,16
ENAVO ODT,CLORIDRATO DE ONDANSETRONA DI-HIDRATO 4MG,EMS,222264,08/22,08/24,6
ECOFILM ,CARMELOSE SÓDICA 5MG/L,LATINOFARMA,22050331,05/22,05/24,30
FORFIG,SILYBUM MARIANUM 200MG,MOMENTA,792623,05/22,05/24,2
FENAZIC,"BROMIDRATO DE DARIFENACINA 7,5MG",ZODIAC,94272,07/22,07/24,0
FLY250,SIMETICONA 250MG,BIOLAB,1077393,08/22,08/24,0
FAXXA,RIVAROXABAN,BRACEPHARMA,2Y6570,07/22,07/24,8
FLAVENOS,DIOSMINA 900MG HESPERIDINA 100MG,BIOLAB,21004864,12/22,12/24,6
FLUX SR ,"INDAPAMIDA 1,5MG",BIOLAB,1075015,06/22,05/24,0
GENERICO,GLIBENCLAMIDA 5MG,NEO QUIMICA,B22E2293,06/22,06/24,2
GENERICO,FUROSEMIDA 40MG,BIOSINTÉTICA,2216417,12/22,12/24,14
GENERICO,HIDROCLOROTIAZIDA 25MG,TEUTO,65651129,08/22,08/24,1
HOMLES H ,"OLMESARTANA MEDOXOMILA 40MG HIDROCLOROTIAZIDA 12,5MG",EUROFARMA,829016,11/22,11/24,12
HOMLES H ,"OLMESARTANA MEDOXOMILA 40MG HIDROCLOROTIAZIDA 12,5MG",EUROFARMA,795382,05/22,05/24,12
HOLMES,OLMESARTANA MEDOXOMILA 40MG ,EUROFARMA,814572,09/22,09/24,7
GALVUS,VIDAGLIPTINA,NOVARTIS,B8734N,10/22,09/24,1
GAMAX ,OFFICINALIS 980MG,HEBRON,2202168,02/22,05/24,1
GAMAX ,OFFICINALIS 980MG,HEBRON,2201076,01/22,05/24,2
FLUENCE,SUPLEMENTO ALIMENTAR L METILFOLATO DE CALCIO EM GOTAS,HEBRON,2205089,05/22,05/24,1
GLYXAMBI,EMPAGLIFOZINA 25MG LINAGLIPTINA 5M,BOEHRINGER INGELHEIN,202922,04/22,04/25,0
IBAN ,IBANDRONATO DE SODIO 150MG,EUROFARMA,21110308,09/21,09/24,3
IBANUNO,IBANDRONATO DE SODIO 150MG,SUPERA,21110312,09/21,09/24,1
IMPERE,SUCCINATO DE SOLIFENACINA,EMS,2Z7934,08/22,08/24,5
IMUNOGLUCAN,SUPLEMENTO ALIMENTAR DE VITAMINA C E ZINCO CONTENDO BETA GLUCANA EM CAPSULAS,HEBRON,2207109,07/22,07/24,0
INDAPAMIDA,"GENERICO INDAPAMIDA 1,5MG",EMS,3J1191,02/23,02/25,0
INDAPAMIDA,"GENERICO INDAPAMIDA 1,5MG",EMS,2Z3737,06/22,06/24,2
JARDIANCE,EMPAGLIFLOZINA 10MG,BOEHRINGER INGELHEIN,D97577,01/22,01/25,0
IBAN,IBANDRONATO DE SODIO 150MG,EUROFARMA,22040109,02/22,02/25,10
LIPANON,FENOFIBRATO 250MG,MANTECORP FARMASA,B21C0324,11/21,11/24,6
LIPANON,FENOFIBRATO 250MG,MANTECORP FARMASA,B22D1149,10/21,10/24,14
MANIVASC,DICLORIDRATO DE MANIDIPINO 10MG,CHIESI,1151969,03/22,03/25,2
MANIVASC,DICLORIDRATO DE MANIDIPINO 10MG,CHIESI,1141320,10/21,10/24,2
MANIVASC,DICLORIDRATO DE MANIDIPINO 10MG,CHIESI,1137513,07/21,07/24,1
MANIVASC,DICLORIDRATO DE MANIDIPINO 10MG,CHIESI,1141320,10/21,10/24,8
MANIVASC,DICLORIDRATO DE MANIDIPINO 10MG,CHIESI,1141323,10/21,10/24,1
MALEATO DE ENALAPRIL,GENERICO MATEATO DE ENALAPRIL 10MG,TEUTO,26223953,09/22,09/24,9
MALEATO DE ENALAPRIL,GENERICO MATEATO DE ENALAPRIL 10MG,TEUTO,26223971,09/22,09/24,29
MECLIN,DICLORIDRATO DE MECLOZINA 25MG,ASPEN,22060381,06/22,06/24,0
MECLIN,DICLORIDRATO DE MECLOZINA 25MG,ASPEN,22080205,07/22,07/22,0
MECLIN,DICLORIDRATO DE MECLOZINA 25MG,ASPEN,22080437,08/22,08/24,0
MECLIN,DICLORIDRATO DE MECLOZINA 25MG,ASPEN,22090467,09/22,09/24,2
MECLIN,DICLORIDRATO DE MECLOZINA 25MG,ASPEN,22070481,07/22,07/24,1
MECLIN,DICLORIDRATO DE MECLOZINA 25MG,ASPEN,22080439,08/22,08/24,1
MECLIN,DICLORIDRATO DE MECLOZINA 25MG,ASPEN,22060293,06/22,06/24,4
MICARDIS ANLO,TELMISARTANA /40MG BESILATO DE ANLODIPINO 5MG,BOEHRINGER INGELHEIN,21J0508,05/21,05/24,2
MOLIERI,"DROSPIREMONA 3MG ETINILESTRADIOL 0,02MG",EUROFARMA,793247,04/22,04/24,2
MINIAN,DESOGESTREL 150MG ETINILESTRADIOL 20MG,LIBBS,22G0821,07/22,07/24,1
MELATONUM,METALONINA 5ML,MANTECORP FARMASA,Q22E0146,05/22,05/24,0
NEBITATAH,CLORIDRATA DE NEBIVOLOL 5MG,ACHE,2205452,03/22,03/24,1
NEBITATAH,CLORIDRATA DE NEBIVOLOL 5MG,ACHE,2215835,10/22,10/24,5
NAPRIX,RAMIPRIL 5MG,LIBBS,22J0213,10/22,10/24,5
NAPRIX,RAMIPRIL 5MG,LIBBS,22H0263,07/22,07/24,1
NAPRIX,RAMIPRIL 5MG,LIBBS,22G0181,05/22,05/24,3
NAPRIX,RAMIPRIL 5MG,LIBBS,22D0554,04/22,04/24,1
NAPRIX,RAMIPRIL 5MG BESILATO DE ANLODIPINO 5MG,LIBBS,22H0771,06/22,06/24,2
NAPRIX,RAMIPRIL 5MG BESILATO DE ANLODIPINO 5MG,LIBBS,22D0122,04/22,04/24,8
NAPRIX,RAMIPRIL 10MG BESILATO DE ANLODIPINO 10MG,LIBBS,22I0275,08/22,08/24,2
NAPRIX,RAMIPRIL 10MG BESILATO DE ANLODIPINO 5MG,LIBBS,22G0515,06/22,06/24,1
NAPRIX,RAMIPRIL 10MG BESILATO DE ANLODIPINO 5MG,LIBBS,23B0424,02/23,06/25,3
PRESS PLUS,ANLODIPINO BESILATO 5MG CLORIDRATO DE BENAZEPRIL 10MG,BIOLAB,20905418,10/22,10/24,15
PRESS PLUS,ANLODIPINO BESILATO 5MG CLORIDRATO DE BENAZEPRIL 20MG,BIOLAB,30200377,2/23,2/25,4
PRADAXA,ETEXILATO DE DABIGATRANA 150MG,BOEHRINGER INGELHEIN,203042,02/22,02/25,0
PRADAXA,ETEXILATO DE DABIGATRANA 150MG,BOEHRINGER INGELHEIN,203034,02/23,02/26,0
PROCORALAN,IVABRADINA 5MG,SERVIER,3019072,08/21,08/24,1
PROCORALAN,IVABRADINA 5MG,SERVIER,3019073,08/21,08/24,8
PASSARE,DIOSMINA 900MG HESPERIDINA 100MG,BRACEPHARMA,2X5697,06/22,06/24,10
PASSARE,DIOSMINA 900MG HESPERIDINA 100MG,BRACEPHARMA,2X4006,06/22,06/24,2
PASSARE,DIOSMINA 900MG HESPERIDINA 100MG,BRACEPHARMA,3B8261,09/22,09/24,1
PICBAM,APIXABANA 5MG,MANTECORP FARMASA,M210838,08/22,07/24,16
PICBAM,APIXABANA 5MG,MANTECORP FARMASA,M207952,07/22,06/24,2
PICBAM,APIXABANA 5MG,MANTECORP FARMASA,M211849,09/22,06/24,10
QUICARD,DICLORIDRATO DE TRIMETAZIDINA 35MG,BRACEPHARMA,2X3934,06/22,06/24,0
PASALIX,PASSAFLORA 500MG,MARJAN,R358,06/22,06/24,1
PASALIX,PASSAFLORA 500MG,MARJAN,R332,06/22,06/24,1
PIETRA,DIENOGESTE 2MG,EUROFARMA,791721,05/22,05/24,1
PIDOMAG,PIDOLATO DE MAGNESIO ,BALDACCA,EG03,07/22,07/24,0
OXOTRON,LOXOPROFENO SODICO 60MG,ACHE,221201,05/22,05/24,1
OSTEOBAN,IBANDRONATO DE SODIO 150MG,ACHE,2204579,05/22,05/24,1
OESTROGEL,"ESTRADIOL HEMI-HIDRATO 0,6MG",BESINS ,73822,05/22,05/25,1
OMEPRAZOL,GENERICO OMEPRAOL 20MG,TEUTO,81721138,11/22,11/24,0
OMNLY ANLO,OLMESARTANA MEDOXOMILA 40MG BESILATO DE ANLODIPINO 5MG,BRACEPHARMA,3A7698,09/22,09/24,7
OFOLATOSOP,L-METILFOLATO DE CALCIO,MANTECORP FARMASA,115,09/22,09/24,0
OFOLATOSOP,L-METILFOLATO DE CALCIO,MANTECORP FARMASA,50,06/22,06/24,0
OLMY,OLMESARTANA MEDOXOMILA  40 MG,BRACEPHARMA,3A7698,09/22,09/24,7
OMEPRAZOL,OMEPRAZOL 20 MG GENERICO,TEUTO,81721138,11/22,11/24,6
OESTROGEL,"ESTRADIOL HEMI-HIDRATO 0,6MG",BESINS ,73A22,06/22,05/25,1
OSTEOBAN,IBANDRONATO DE SODIO 150MG,ACHE,2204579,05/22,05/24,1
